Study area (Union),Age,Gender,Marital Status,Education level,Occupation,Monthly Household Income (BDT),Household Type,Household Size,Have you experienced a cyclone before?, Distance to nearest cyclone shelter,Difficulty in accessing shelter during cyclone,Are women-friendly facilities available in cyclone shelters?,Women feel comfortable and safe in cyclone shelters,Are there any security issues in cyclone shelters?,"If yes, what types of security issues are experienced in cyclone shelters?",Security issues discourage women from using shelters,How effective is shelter management in ensuring safety?,What management problems exist?,Women’s mobility is restricted by family or social norms during cyclone events,Who usually makes the decision to evacuate to cyclone shelters?,Cyclone warning information is timely and clear,Main sources of cyclone warning information,Have you received any cyclone preparedness training?,Overall impact of cyclone on your household,Types of losses experienced,"Livelihood factors (e.g., livestock, income source) affect your decision to go to shelter",What are the main barriers to reaching cyclone shelters?,"In your opinion, why do women avoid cyclone shelters?",Suggested Improvements
Barabagi ,18,Female,Single,Secondary,Student,"<5,000",Bamboo/Wooden,6,Yes,1–2 km,Difficult,No,Disagree,Yes,Overcrowding,Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,High,"Injury, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, More shelter capacity, Better management"
Barabagi ,19,Female,Single,Secondary,Student,"<5,000",Katcha,6,Yes,1–2 km,Difficult,No,Disagree,Yes,"Overcrowding, Harassment, Physical violence",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",Yes,Moderate,"Injury, Property loss, Psychological stress",Disagree,"Fallen trees, Slippery road","Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management, Bad previous experience","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Barabagi ,25,Female,Married,Secondary,Housewife,"<5,000",Bamboo/Wooden,4,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources, Poor organization",Disagree,Joint decision,Agree,"Miking, Flag signal, Neighbours",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport","Lack of food & water, Overcrowding, Bad previous experience, Livestock or asset concern, Physical limitation (pregnant/elderly/disabled)","More shelter capacity, Better management, Medical services, Childcare facilities, Livestock space"
Barabagi ,36,Female,Married,Primary,Housewife,"<5,000",Bamboo/Wooden,5,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Harassment, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,Moderate,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Long distance","Lack of food & water, Overcrowding, Livestock or asset concern, Physical limitation (pregnant/elderly/disabled), Childcare or elderly care burden","Clean toilets, Food & drinking water, Better security system, Medical services, Childcare facilities"
Barabagi ,44,Female,Married,Graduation,Government Employee,">20,000",Bamboo/Wooden,6,Yes,1–2 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Verbal abuse",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Mosque announcement",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current","Lack of food & water, Overcrowding, Livestock or asset concern, Physical limitation (pregnant/elderly/disabled), Childcare or elderly care burden","Clean toilets, Food & drinking water, Medical services, Childcare facilities, Livestock space"
Barabagi ,39,Female,Married,Secondary,Housewife,"<5,000",Semi-pucca,5,Yes,3–5 km,Difficult,Partially,Disagree,Yes,Overcrowding,Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Radio/TV, Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current, Flooded roads","Lack of food & water, Overcrowding, Livestock or asset concern, Physical limitation (pregnant/elderly/disabled), Childcare or elderly care burden","Clean toilets, Food & drinking water, Medical services, Childcare facilities, Livestock space"
Barabagi ,18,Male,Single,Secondary,Student,"<5,000",Katcha,6,Yes,<1 km,Moderate,Partially,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",Yes,High,"Property loss, Income loss, Psychological stress",Disagree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Barabagi ,30,Male,Married,HSC equivalent,Business,"10,000–20,000",Semi-pucca,6,Yes,3–5 km,Difficult,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Disagree,Joint decision,Agree,"Miking, Flag signal",Yes,Moderate,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Barabagi ,46,Male,Married,Primary,Day laborer,"5,000–10,000",Bamboo/Wooden,5,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources, Poor organization",Agree,Joint decision,Agree,"Miking, Flag signal",No,High,"Property loss, Income loss, Psychological stress",Neutral,"Fallen trees, Slippery road, No transport, Strong current, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Barabagi ,53,Male,Married,Graduation,Government Employee,">20,000",Pucca,7,Yes,1–2 km,Moderate,Partially,Disagree,Yes,"Overcrowding, Theft",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,Severe,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Long distance, Strong current","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
